wallet,total_unlocked_percentage
0x0057b7ebcd7a436224ac449218be484a6cd363d0,10
0x0058638e4fc0be972ea37e6418c4100ac4d126b7,80
0x0058a9a7bf544ea53e57a15f8d33e1dfdf50f7de,75
0x00594667203a4b01b0f456b5833378c4adee109e,50
0x0059e9edfe18987425d5c3f1de8bad1c82cf2f21,75
0x005a506900cea597d2057ce8107e7cac26197771,75
0x005ad793b831e6c90ad5528e788e4b94806ce786,80
0x005ae6ad2dc891fb7d9942510a61b9f9ca4ad6a1,75
0x005b9c2b16ea302888a264841b8265ef14cea207,50
0x005c11d635999328c40cc56ffed33f983296dddc,80
0x005d154afee6063d2e25e9edd52d609639b36415,75
0x005dbb004931199bb02fa80b95c98428f879e3a6,30
0x005f0bb73daad45d56e76670a4d875d78c40f108,50
0x005f3d7bdf2de3a426f145b556b731219e512044,10
0x005f5957dc464c923b67b426a5a7f516db3bbe5a,55
0x005f7afa09f81a9158ffda4940001263bee3a949,80
0x00615b5fb3f39fd95e8474b1d0bdf8f57bb0a71a,80
0x00619dffcc09d6111a81e62f74d63cc967ee9f50,45
0x006212a3e3f5d370daa4d9a179bfbea497adde7b,75
0x00624ad0abf6f8564a68b628d2def6c727d22870,75
0x006254729ad977042210071b2e118c82739a191b,80
0x0063052772f10343cae16354f5c6b792c6f58cc5,60
0x0064b847944affca10d056850187a64720cb4b48,47.5
0x0064bea4e4b20ad3479c1c1580422d7eb1b9c686,75
0x0064fd8236ad992eae325582a19904bae822e89c,75
0x0064fd929c9a26147f642704836013319d86f65a,75
0x00651b9e2924f1a5b63f6460832ab211e5829190,25
0x00657351aa6d4ad14833127d9050e46d6918ca24,70
0x0066d5a65c2ca9d2d2dbcbf5d41c054743a18da8,75
0x006725a35e64b4defaa86369caf88e02c0334814,80
0x0067bc3081a2ca8bf31100ff7c752abfe2eddbec,75
0x00681c126fc99c69fb4d7804f251b3ebf67382b1,50
0x00682c325123beb47ffe00e8c4a18ff73199d172,22.5
0x0068e25d977be495a26b2b00806b111b3111cdce,80
0x006a263b40953f35276ffe1bd6ecc18d8e388fe3,25
0x006a5b2cd7cb399d2b422ba90e9a66a5daf17eb5,80
0x006b319d89cd473a5363e7913da2a155e0365ab8,75
0x006be0ef49c5341457a6dc7dd02a93b9606f6fa6,65
0x006be6fbb8357d0ac9a4e0ec9f76baded80852de,47.5
0x006c2d8fc7d5e8102b1993037881126d09b45a93,80
0x006c4fd19b757aff1725dbdd734317a55d4268ad,80
0x006c9637be44db33aae7b0edaf478bd105128a53,50
0x006ca04614d7dc5913b286fc3e1ec70581af03c1,7.5
0x006d2f4246f0d07c409a3add7a82673938274bf9,80
0x006d34faade3bd5c266d3b150892038be61ce4d2,75
0x006d92dccf3567780832779ce923e53d2db2ba82,70
0x006dbf39ab63a8bedcd5b5966b0daeb0c6d54aef,10
0x006e00df875b4a71dfee5d5e1e203f477e955f9a,75
0x006e8348c1cdd4f8428757e0e34644eb4b44c90b,12.5
0x006f9dda119f1f893247cc10a8ea2a34e8796aba,80
0x006ffa906e9a52f2bb4eef941d5ecd254095563f,30
0x0070bc96a1f30274dafc83d692a929b9b42d5357,30
0x0071bfbaeedc37c36b1d7fc6e9539b746de9dbaa,50
